Date,Longitude,Latitude,Depth,Type,Magnitude,Location,EventID,TimeName,TypeName,MagnitudeName
"17/08/1999 23:47:40",30.007,40.821,12.9,"mb",4.1,"-",19606,"NEIC","NEIC","NEIC"
"17/08/1999 22:30:41",29.27,40.74,15,"mb",4.1,"-",19604,"Kalafat ve Diğ.2011","Kalafat ve Diğ.2011","Kalafat ve Diğ.2011"
"17/08/1999 20:35:22",28.72,40.43,7,"mb",4.1,"-",19603,"Kalafat ve Diğ.2011","Kalafat ve Diğ.2011","Kalafat ve Diğ.2011"
"17/08/1999 19:09:15",30.247,40.788,10,"mb",4.2,"-",19602,"MOS","MOS","MOS"
"17/08/1999 17:17:53",29.79,40.768,11.9,"mb",4.1,"-",19601,"ISC","ISC","ISC"
"17/08/1999 16:31:11",28.7,40.42,8,"mb",4,"-",19599,"Kalafat ve Diğ.2011","Kalafat ve Diğ.2011","Kalafat ve Diğ.2011"
"17/08/1999 13:36:46",30.3,40.717,20.6,"mb",4,"-",19597,"NEIC","NEIC","NEIC"
"17/08/1999 11:31:55",30.067,40.722,7,"mb",4.2,"-",19595,"ISC","ISC","ISC"
"17/08/1999 08:35:02",30.486,40.693,12.3,"mb",4.1,"-",19589,"ISC","ISC","ISC"
"17/08/1999 08:01:33",29.91,40.774,11.4,"mb",4.1,"-",19587,"ISC","ISC","ISC"
"17/08/1999 07:45:22",30.023,40.744,7,"mb",4.3,"-",19585,"ISC","ISC","ISC"
"17/08/1999 07:10:10",30.23,40.778,10,"mb",4.7,"-",19584,"ISC","ISC","ISC"
"17/08/1999 06:39:59",30.261,40.752,14.4,"mb",4.3,"-",19582,"ISC","ISC","ISC"
"17/08/1999 06:20:19",30.451,40.673,10,"mb",4.6,"-",19580,"ISC","ISC","ISC"
"17/08/1999 06:14:23",29.154,40.755,10,"mb",4.3,"-",19579,"ISC","ISC","ISC"
"17/08/1999 05:43:07",30.31,40.722,10,"mb",4.2,"-",19577,"ISC","ISC","ISC"
"17/08/1999 05:23:14",30.255,40.744,2.2,"mb",4.2,"-",19576,"ISC","ISC","ISC"
"17/08/1999 04:50:48",30.108,40.837,10,"mb",4.9,"-",19573,"ISC","ISC","ISC"
